20/06/2024	01050	
011029344355 |49
18/06/2024	01049	
202327363844 |52
15/06/2024	01048	
051014202651 |36
13/06/2024	01047	
083945474951 |16
11/06/2024	01046	
131621303239 |53
08/06/2024	01045	
131632333543 |42
06/06/2024	01044	
182638394751 |55
04/06/2024	01043	
010207101319 |24
01/06/2024	01042	
062430314749 |01
30/05/2024	01041	
040708122331 |45
28/05/2024	01040	
012529374054 |50
25/05/2024	01039	
152238394353 |20
3/05/2024	01038	
081242475152 |36
21/05/2024	01037	
010214323341 |04
18/05/2024	01036	
121820252752 |44
16/05/2024	01035	
202527394555 |44
14/05/2024	01034	
051736404650 |01
11/05/2024	01033	
192325434654 |42
09/05/2024	01032	
031621363740 |31
07/05/2024	01031	
212635414452 |13
04/05/2024	01030	
052735454955 |18
02/05/2024	01029	
303233364248 |18
30/04/2024	01028	
131626464954 |08
27/04/2024	01027	
071238434855 |08
25/04/2024	01026	
131927384154 |46
23/04/2024	01025	
013439404953 |09
20/04/2024	01024	
020635434547 |14
18/04/2024	01023	
012123334354 |28
16/04/2024	01022	
030532404650 |37
13/04/2024	01021	
293637384042 |46
11/04/2024	01020	
030615253343 |55
09/04/2024	01019	
041227444651 |22
06/04/2024	01018	
091320303954 |23
04/04/2024	01017	
030812254748 |15
02/04/2024	01016	
011218205152 |37
30/03/2024	01015	
141727385455 |23
28/03/2024	01014	
010718263849 |21
26/03/2024	01013	
010813163844 |47
23/03/2024	01012	
031013304052 |04
21/03/2024	01011	
121341484953 |43
19/03/2024	01010	
062539454655 |26
16/03/2024	01009	
083642434455 |54
14/03/2024	01008	
212526294151 |39
12/03/2024	01007	
111418202243 |16
09/03/2024	01006	
111322364649 |37
07/03/2024	01005	
132033475354 |19
05/03/2024	01004	
121921232854 |31
02/03/2024	01003	
011921315055 |37
29/02/2024	01002	
041120385253 |33
27/02/2024	01001	
010406082435 |53
24/02/2024	01000	
010322273840 |26
22/02/2024	00999	
081924313555 |01
20/02/2024	00998	
344650515255 |05
17/02/2024	00997	
081217273855 |47
15/02/2024	00996	
030708182126 |19
13/02/2024	00995	
081722313449 |18
08/02/2024	00994	
223135363842 |11
06/02/2024	00993	
081927344651 |24
03/02/2024	00992	
040607131826 |49
01/02/2024	00991	
020710223240 |39
30/01/2024	00990	
031013404952 |09
27/01/2024	00989	
061238414655 |13
25/01/2024	00988	
131735384248 |07
23/01/2024	00987	
132732484951 |23
20/01/2024	00986	
062529344954 |38
18/01/2024	00985	
122033384052 |35
16/01/2024	00984	
091418202743 |42
13/01/2024	00983	
010507233542 |21
11/01/2024	00982	
022332445152 |28
09/01/2024	00981	
163245505253 |54
06/01/2024	00980	
151721243446 |11
04/01/2024	00979	
073437435254 |28
02/01/2024	00978	
020518313745 |20
30/12/2023	00977	
091729323852 |02
28/12/2023	00976	
202830404552 |32
26/12/2023	00975	
101417272940 |25
23/12/2023	00974	
223239464849 |43
21/12/2023	00973	
093139414748 |03
19/12/2023	00972	
111415243453 |18
16/12/2023	00971	
131521263435 |45
14/12/2023	00970	
011223434852 |30
12/12/2023	00969	
060716213450 |31
09/12/2023	00968	
060926273447 |41
07/12/2023	00967	
091328335053 |47
05/12/2023	00966	
020419323539 |49
02/12/2023	00965	
011020374851 |54
30/11/2023	00964	
091321285054 |51
28/11/2023	00963	
102447485255 |28
25/11/2023	00962	
070910172553 |49
23/11/2023	00961	
040626335255 |15
21/11/2023	00960	
030716373951 |09
18/11/2023	00959	
010710142829 |02
16/11/2023	00958	
030510184449 |28
14/11/2023	00957	
040912152238 |40
11/11/2023	00956	
020304194142 |23
09/11/2023	00955	
081724343948 |44
07/11/2023	00954	
121820283552 |25
04/11/2023	00953	
143537474850 |43
02/11/2023	00952	
091517212636 |13
31/10/2023	00951	
101617283742 |43
28/10/2023	00950	
111425444647 |10
26/10/2023	00949	
142232374348 |42
24/10/2023	00948	
122026334044 |24
21/10/2023	00947	
111624344752 |15
19/10/2023	00946	
012329375155 |54
17/10/2023	00945	
132233414647 |09
14/10/2023	00944	
082330343847 |10
12/10/2023	00943	
050809203650 |35
10/10/2023	00942	
062326374446 |33
07/10/2023	00941	
041336404352 |34
05/10/2023	00940	
012133464753 |09
03/10/2023	00939	
031527293748 |55
30/09/2023	00938	
031319303844 |51
28/09/2023	00937	
042336454750 |22
26/09/2023	00936	
142024274144 |23
23/09/2023	00935	
202736434547 |35
21/09/2023	00934	
162633344143 |53
19/09/2023	00933	
172935405152 |23
16/09/2023	00932	
252742515455 |45
14/09/2023	00931	
061020225052 |34
12/09/2023	00930	
263132394555 |28
09/09/2023	00929	
132032374349 |40
07/09/2023	00928	
010436424554 |32
05/09/2023	00927	
020619293448 |39
02/09/2023	00926	
121532444651 |48
31/08/2023	00925	
233337434546 |29
29/08/2023	00924	
010820253553 |54
26/08/2023	00923	
050824385051 |47
24/08/2023	00922	
011020414250 |39
22/08/2023	00921	
020306343536 |31
19/08/2023	00920	
070913222742 |23
17/08/2023	00919	
010525325152 |54
15/08/2023	00918	
051225394053 |52
12/08/2023	00917	
132439434552 |08
10/08/2023	00916	
041431424749 |43
08/08/2023	00915	
050619204045 |47
05/08/2023	00914	
223440474951 |44
03/08/2023	00913	
031222253739 |07
01/08/2023	00912	
041822253348 |02
29/07/2023	00911	
162325262940 |32
27/07/2023	00910	
031113313345 |27
25/07/2023	00909	
122342445152 |03
22/07/2023	00908	
091523252734 |41
20/07/2023	00907	
053436384750 |26
18/07/2023	00906	
101119284247 |16
15/07/2023	00905	
021631373848 |36
13/07/2023	00904	
030430343649 |08
11/07/2023	00903	
244044464749 |05
08/07/2023	00902	
081123434448 |41
06/07/2023	00901	
071229394655 |01
04/07/2023	00900	
041314233350 |41
01/07/2023	00899	
133336384550 |25
29/06/2023	00898	
011112284654 |40
27/06/2023	00897	
021215162728 |47
24/06/2023	00896	
080916205053 |03
22/06/2023	00895	
021114354351 |55
20/06/2023	00894	
072326313553 |32
17/06/2023	00893	
071323343840 |55
15/06/2023	00892	
101125394655 |40
13/06/2023	00891	
041418274750 |33
10/06/2023	00890	
101727323541 |54
08/06/2023	00889	
033638435153 |02
06/06/2023	00888	
011423274450 |43
03/06/2023	00887	
232829363841 |07
01/06/2023	00886	
031840414647 |36
30/05/2023	00885	
011424284046 |34
27/05/2023	00884	
040608183943 |28
25/05/2023	00883	
151619313346 |07
23/05/2023	00882	
262735364754 |40
20/05/2023	00881	
011421364853 |44
18/05/2023	00880	
131421233041 |49
16/05/2023	00879	
192430344044 |51
13/05/2023	00878	
222435434554 |50
11/05/2023	00877	
010319333451 |17
09/05/2023	00876	
070913224447 |39
06/05/2023	00875	
011122283442 |10
04/05/2023	00874	
133032354552 |29
02/05/2023	00873	
041118253345 |21
29/04/2023	00872	
020912244153 |35
27/04/2023	00871	
082838394145 |54
25/04/2023	00870	
061019232528 |45
22/04/2023	00869	
091823244852 |10
20/04/2023	00868	
071132354251 |46
18/04/2023	00867	
171830405155 |50
15/04/2023	00866	
013435364243 |05
13/04/2023	00865	
222628373948 |15
11/04/2023	00864	
101416183749 |54
08/04/2023	00863	
173336465052 |40
06/04/2023	00862	
071012335254 |16
04/04/2023	00861	
132841424751 |09
01/04/2023	00860	
123439444955 |14
30/03/2023	00859	
061114213032 |22
28/03/2023	00858	
062124415053 |13
25/03/2023	00857	
171828404954 |16
23/03/2023	00856	
040722334049 |39
21/03/2023	00855	
071731434549 |52
18/03/2023	00854	
182432335153 |36
16/03/2023	00853	
062334485055 |02
14/03/2023	00852	
141518202735 |31
11/03/2023	00851	
132325303544 |08
09/03/2023	00850	
122228345354 |40
07/03/2023	00849	
082225273950 |28
04/03/2023	00848	
091323363854 |21
02/03/2023	00847	
010323244348 |31
28/02/2023	00846	
021314304355 |22
25/02/2023	00845	
010214213851 |50
23/02/2023	00844	
121629313948 |40
21/02/2023	00843	
041215213044 |05
18/02/2023	00842	
112326294350 |05
16/02/2023	00841	
010507082022 |33
14/02/2023	00840	
010933374345 |23
11/02/2023	00839	
041345485254 |05
09/02/2023	00838	
011029304950 |09
07/02/2023	00837	
062729323952 |09
04/02/2023	00836	
020608274146 |20
02/02/2023	00835	
031023293453 |11
31/01/2023	00834	
101131323852 |05
28/01/2023	00833	
092223293847 |33
26/01/2023	00832	
081518203341 |14
24/01/2023	00831	
030510122930 |09
19/01/2023	00830	
032132333852 |30
17/01/2023	00829	
010920364450 |40
14/01/2023	00828	
051724304353 |26
12/01/2023	00827	
051437454755 |25
10/01/2023	00826	
051214194651 |36
07/01/2023	00825	
030409153354 |16
05/01/2023	00824	
051234374749 |28
03/01/2023	00823	
091324434748 |18
31/12/2022	00822	
101536424552 |20
29/12/2022	00821	
060833373851 |48
27/12/2022	00820	
111213142355 |27
24/12/2022	00819	
051922233044 |52
22/12/2022	00818	
142635434548 |03
20/12/2022	00817	
020609203135 |42
17/12/2022	00816	
010229344142 |09
15/12/2022	00815	
022538505155 |21
13/12/2022	00814	
102231374152 |20
10/12/2022	00813	
021213183344 |31
08/12/2022	00812	
063036414955 |20
06/12/2022	00811	
011125444546 |35
03/12/2022	00810	
161727485253 |24
01/12/2022	00809	
111429315254 |07
29/11/2022	00808	
021316184142 |19
26/11/2022	00807	
082324484952 |01
24/11/2022	00806	
040618275253 |10
22/11/2022	00805	
030921222635 |15
19/11/2022	00804	
031522394648 |43
17/11/2022	00803	
011925273842 |54
15/11/2022	00802	
042026364751 |33
12/11/2022	00801	
081823303542 |43
10/11/2022	00800	
081114273845 |21
08/11/2022	00799	
122733444850 |18
05/11/2022	00798	
101922254753 |52
03/11/2022	00797	
081324282933 |49
01/11/2022	00796	
030920233154 |55
29/10/2022	00795	
010310131520 |32
27/10/2022	00794	
010710171930 |53
25/10/2022	00793	
081820224246 |01
22/10/2022	00792	
171935425152 |34
20/10/2022	00791	
152127343753 |29
18/10/2022	00790	
063036394446 |49
15/10/2022	00789	
081516394551 |23
13/10/2022	00788	
121343485152 |15
11/10/2022	00787	
112634404652 |01
08/10/2022	00786	
111723344151 |40
06/10/2022	00785	
060819204753 |07
04/10/2022	00784	
051112224345 |42
01/10/2022	00783	
141516222329 |20
29/09/2022	00782	
153233374254 |28
